formula,scale,threshold,mae,mae_std,coverage,coverage_std,within_5,within_5_std,n_accepted,n_simulations
sqrt,30.0,0.7,3.3867724867724864,0.7097924517765565,0.17407407407407408,0.02312962221629037,0.7708994708994709,0.0748952965851347,16,90
sqrt,40.0,0.45,10.732852965747702,1.2403700328562268,0.6407407407407407,0.023129622216290346,0.5789891395154553,0.03989616246056898,58,90
sqrt,40.0,0.5,9.11624853134287,0.6710027326034153,0.5703703703703704,0.023129622216290387,0.6309968109159484,0.04439261209338226,51,90
sqrt,40.0,0.55,8.743055555555555,0.896156272541132,0.5481481481481482,0.02566001196398334,0.6367521367521368,0.05584500942608656,49,90
sqrt,40.0,0.6,7.8864386067503345,1.8691428764366997,0.4962962962962963,0.023129622216290373,0.6355089739552876,0.0393439246568022,45,90
sqrt,40.0,0.65,5.206367451195037,1.3743928796583456,0.3703703703703704,0.04206598774666869,0.7131910235358511,0.04598678448012035,33,90
sqrt,40.0,0.7,4.290177314945116,1.2530310490061687,0.21481481481481482,0.027962349760262035,0.7756356130969134,0.012637437833414316,19,90
linear,1.0,0.45,4.4146825396825395,0.6554199435042845,0.07777777777777778,0.011111111111111113,0.7658730158730158,0.06109049332674863,7,90
linear,1.0,0.5,3.5888888888888886,0.4167777629669123,0.05555555555555556,0.01111111111111111,0.7944444444444444,0.041943524640393075,5,90
linear,1.0,0.55,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
linear,1.0,0.6,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
linear,1.0,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
linear,1.0,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
linear,1.5,0.45,4.886904761904762,1.9093230359953008,0.1703703703703704,0.012830005981991686,0.7410714285714285,0.04971218181098234,15,90
linear,1.5,0.5,4.620634920634921,1.682781504035809,0.14444444444444446,0.02939723678960656,0.7507936507936508,0.07320541306412832,13,90
linear,1.5,0.55,3.288888888888889,0.8064554360721804,0.08518518518518518,0.02312962221629036,0.7968253968253968,0.0846941052187562,8,90
linear,1.5,0.6,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
linear,1.5,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
linear,1.5,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
linear,2.0,0.45,7.921568627450981,2.513171760001901,0.18888888888888888,0.0,0.7058823529411765,0.05882352941176466,17,90
linear,2.0,0.5,4.90728021978022,1.6045418689444504,0.15925925925925924,0.016972502573910527,0.7522893772893773,0.11430299337537009,14,90
linear,2.0,0.55,4.65982905982906,2.042740764573755,0.14074074074074075,0.02796234976026203,0.7452991452991453,0.06981394139029795,13,90
linear,2.0,0.6,3.1944444444444446,0.6071525831776221,0.1037037037037037,0.025660011963983365,0.7916666666666666,0.07216878364870323,9,90
linear,2.0,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
linear,2.0,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
linear,2.5,0.45,7.315797101449275,0.9513655823759615,0.2518518518518518,0.027962349760262045,0.7385507246376811,0.05459133851359333,23,90
linear,2.5,0.5,7.227124183006535,2.152370172621277,0.18888888888888888,0.011111111111111113,0.7457788671023965,0.08723900177845542,17,90
linear,2.5,0.55,4.939248251748252,1.971423188380413,0.14814814814814814,0.027962349760262042,0.7374708624708625,0.1004306849377059,13,90
linear,2.5,0.6,4.696192696192696,1.99345587623847,0.14444444444444443,0.02222222222222222,0.7513597513597513,0.077322314013967,13,90
linear,2.5,0.65,3.4416666666666664,0.6597032161004929,0.0925925925925926,0.016972502573910513,0.769047619047619,0.08028435857184459,8,90
linear,2.5,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
linear,3.0,0.45,7.181964573268921,0.9473568317102568,0.27037037037037037,0.025660011963983372,0.7273215244229737,0.048049040155737265,24,90
linear,3.0,0.5,7.1534567644407465,0.7628791308437826,0.23703703703703702,0.023129622216290353,0.754351293252895,0.08122033618823739,21,90
linear,3.0,0.55,4.412962962962963,1.4137369852184265,0.1814814814814815,0.016972502573910527,0.7819444444444444,0.10344192322980798,16,90
linear,3.0,0.6,4.696192696192696,1.99345587623847,0.14444444444444443,0.02222222222222222,0.7513597513597513,0.077322314013967,13,90
linear,3.0,0.65,3.593121693121693,0.6617550234749366,0.12222222222222222,0.029397236789606564,0.7402116402116402,0.08504046334824135,11,90
linear,3.0,0.7,2.8111111111111113,1.2807694446583158,0.044444444444444446,0.01111111111111111,0.85,0.1322875655532295,4,90
linear,3.5,0.45,7.969780219780219,2.18995680778167,0.3037037037037037,0.012830005981991702,0.7078754578754579,0.026682788066544776,27,90
linear,3.5,0.5,7.332070707070706,0.9348952438251271,0.2518518518518518,0.012830005981991686,0.720959595959596,0.04675128429690308,23,90
linear,3.5,0.55,7.3707664884135475,1.021954842111251,0.22592592592592595,0.032075014954979206,0.7593582887700535,0.07179530257806178,20,90
linear,3.5,0.6,4.482252388134741,1.742891830169751,0.16666666666666666,0.022222222222222227,0.7644042232277526,0.1042113309648752,15,90
linear,3.5,0.65,4.767765567765568,1.9065349243123426,0.13703703703703704,0.023129622216290367,0.7373626373626374,0.08327756456170284,12,90
